track_name,track_popularity,playlist_genre,duration_ms,track_album_release_year,track_album_release_month,feature,value
Don't Start Now - Kungs Remix,65,pop,216256,2019,12,danceability,0.664
Drunken Truth,56,pop,158091,2019,12,danceability,0.781
Jacques,42,pop,203227,2019,8,danceability,0.789
Stay (Don't Go Away) [feat. Raye],74,pop,185943,2019,5,danceability,0.669
Solid Gold,65,pop,208367,2019,5,danceability,0.567
One Life,64,pop,204591,2019,9,danceability,0.653
All ‘Bout The Money,51,pop,169964,2019,10,danceability,0.721
Used To Love (with Dean Lewis),83,pop,236765,2019,10,danceability,0.651
Giulia,55,pop,153231,2019,11,danceability,0.682
What Do I Do? - Benny Benassi Remix,39,pop,167249,2019,10,danceability,0.66
Dreams Of You (feat. Rae Morris),48,pop,291785,2019,10,danceability,0.57
I Will Let You Down (feat. KLARA),59,pop,182000,2019,12,danceability,0.608
Carillon (with Achille Lauro),64,pop,242385,2019,12,danceability,0.561
La Vie - Gabry Ponte Mix,42,pop,177638,2019,11,danceability,0.591
Say It,57,pop,204693,2019,7,danceability,0.745
All This Time,21,pop,225160,2019,7,danceability,0.66
Acordeão,63,pop,131204,2019,8,danceability,0.552
My Friend,54,pop,170000,2019,5,danceability,0.471
On & On,79,pop,147027,2019,11,danceability,0.747
Juliet & Romeo,72,pop,204514,2019,12,danceability,0.712
All Around The World (La La La),80,pop,147840,2019,4,danceability,0.733
Are You Lonely (feat. ISÁK),47,pop,157333,2019,2,danceability,0.517
No More (feat. Brenda Mullen) - Bottai Edit,19,pop,200640,2019,3,danceability,0.675
Close Your Eyes,79,pop,160794,2019,11,danceability,0.818
Buzzing (with Nevve),59,pop,225000,2019,11,danceability,0.639
Never Be Alone (feat. Aloe Blacc),68,pop,178671,2019,7,danceability,0.535
Roses - Imanbek Remix,72,pop,176219,2019,9,danceability,0.784
Insane,66,pop,142230,2019,11,danceability,0.809
Only Want You - Sam Feldt Remix,64,pop,179151,2019,4,danceability,0.578
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,9,pop,223533,2019,2,danceability,0.733
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,41,pop,196475,2019,5,danceability,0.63
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,69,pop,195924,2019,9,danceability,0.845
Not Ok - Frank Walker Remix,66,pop,183934,2019,7,danceability,0.679
Heaven (feat. Veronica),68,pop,195000,2019,1,danceability,0.657
Sixteen - Don Diablo Remix,66,pop,193548,2019,5,danceability,0.493
Don’t Give Up On Me Now (with Julie Bergan),63,pop,127826,2019,5,danceability,0.687
Brave,68,pop,184027,2019,4,danceability,0.654
Carry On - Nicky Romero Remix,67,pop,175312,2019,5,danceability,0.447
Magnets (feat. Sophie Simmons),62,pop,179016,2019,5,danceability,0.731
Don't Give Up On Me,9,pop,190645,2019,4,danceability,0.489
Found Love (feat. Lovespeake),59,pop,157024,2019,2,danceability,0.6
These Are The Times (feat. JRM),71,pop,188656,2019,7,danceability,0.687
Roots,69,pop,184564,2019,8,danceability,0.683
Talk - Alle Farben Remix,56,pop,167990,2019,4,danceability,0.638
All The Lies - Toby Romeo Remix / Radio Edit,56,pop,163000,2019,7,danceability,0.707
High Hopes - Don Diablo Remix,60,pop,185714,2019,1,danceability,0.59
Summer Air (feat. Trevor Guthrie),40,pop,201905,2019,5,danceability,0.632
Can We Pretend (feat. Cash Cash) - Sigala Remix,57,pop,183360,2019,6,danceability,0.703
Bruises - Steve Void Remix,70,pop,212280,2019,9,danceability,0.79
Insomnia - King Arthur Remix,63,pop,176098,2019,5,danceability,0.733
Don't Worry Bout Me - Rudimental Remix,65,pop,193137,2019,4,danceability,0.728
I Miss Myself - R3HAB Remix,56,pop,183341,2019,6,danceability,0.502
Leave,56,pop,193640,2019,1,danceability,0.762
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,65,pop,156168,2019,3,danceability,0.684
I'm Not Sorry,34,pop,186094,2019,3,danceability,0.65
Tequila - Robin Schulz Remix,54,pop,170103,2019,3,danceability,0.448
Sing It With Me - Embody Remix,50,pop,180571,2019,6,danceability,0.674
Better When You're Gone,76,pop,192402,2019,2,danceability,0.647
Wish You Well,75,pop,205653,2019,5,danceability,0.669
Only When It Rains,52,pop,169000,2019,3,danceability,0.792
Mad Love - Blinkie Remix,62,pop,200893,2019,7,danceability,0.706
Better Day (feat. Aloe Blacc),62,pop,191786,2019,11,danceability,0.662
Rescue Me (with BUNT.) - BUNT. Remix,10,pop,174545,2019,8,danceability,0.673
Discovery,55,pop,198750,2019,5,danceability,0.516
With You - Frank Walker Remix,49,pop,206875,2019,2,danceability,0.686
Love You Forever,61,pop,234609,2019,6,danceability,0.382
Thorns,60,pop,186000,2019,3,danceability,0.708
Need You,62,pop,182161,2019,7,danceability,0.639
Sweet Dreams (Are Made of This),67,pop,176773,2019,6,danceability,0.815
Million Lights,61,pop,186667,2019,3,danceability,0.696
Heaven,80,pop,277262,2019,6,danceability,0.592
eoh,60,pop,155520,2019,8,danceability,0.707
Nobody,66,pop,211040,2019,3,danceability,0.673
All Day And Night,75,pop,169467,2019,7,danceability,0.567
Bittersweet Symphony (feat. Emily Roberts),72,pop,194618,2019,3,danceability,0.676
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",58,pop,178512,2019,8,danceability,0.763
No One - Jonas Blue Remix,51,pop,214641,2019,3,danceability,0.605
Speechless (feat. Erika Sirola) - MOTi Remix,54,pop,181875,2019,3,danceability,0.609
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),83,pop,163805,2019,4,danceability,0.661
Who's Got Your Love,70,pop,157000,2019,3,danceability,0.704
Never Go Back - Robin Schulz Remix,70,pop,184653,2019,6,danceability,0.655
Think About You - Galantis Remix,63,pop,181040,2019,4,danceability,0.621
Giant (with Rag'n'Bone Man),83,pop,229184,2019,1,danceability,0.807
Sad (feat. Afrojack),75,pop,161280,2019,8,danceability,0.717
Why Boy,55,pop,150005,2019,6,danceability,0.497
Breathe (feat. Ina Wroldsen),66,pop,208107,2019,7,danceability,0.724
Rockstar,71,pop,212280,2019,6,danceability,0.771
So Am I,83,pop,183027,2019,3,danceability,0.682
Penny,50,pop,199245,2019,3,danceability,0.468
bad guy,95,pop,194088,2019,3,danceability,0.701
Halfway There (feat. Lena Leon),60,pop,195000,2019,3,danceability,0.59
Spirit Of Freedom,45,pop,161250,2019,1,danceability,0.438
Turning Up,67,pop,182633,2019,11,danceability,0.769
Winter Hitori feat. ASOBOiSM,28,pop,218357,2019,12,danceability,0.787
One in a Million -奇跡の夜に-,60,pop,222932,2019,11,danceability,0.746
Gimme GImme,21,pop,230943,2019,12,danceability,0.705
LOVE + PARTY,37,pop,193553,2019,12,danceability,0.789
taste,34,pop,223920,2019,12,danceability,0.705
A-RA-SHI:Reborn,60,pop,205928,2019,12,danceability,0.718
Light,53,pop,228371,2019,11,danceability,0.775
Fly me 2,41,pop,217000,2019,11,danceability,0.742
Not Enough,29,pop,292587,2019,11,danceability,0.549
COLORLESS,54,pop,196367,2019,12,danceability,0.425
MarudeSaturday Night,21,pop,214118,2019,12,danceability,0.697
FUTARI x PARTY,40,pop,184935,2019,11,danceability,0.866
Be on the Stage,26,pop,232973,2019,12,danceability,0.684
space shuttle,36,pop,224333,2019,11,danceability,0.711
TO-KE-TE,34,pop,214627,2019,12,danceability,0.392
You're the Reason - English ver.,36,pop,198368,2019,12,danceability,0.625
Made In JPN,36,pop,210134,2019,12,danceability,0.621
See You Later,42,pop,200712,2019,11,danceability,0.729
All Over You,12,pop,212211,2019,12,danceability,0.705
Where Would You Go?,16,pop,208333,2019,12,danceability,0.62
Call My Name - Remix,27,pop,166523,2019,10,danceability,0.834
DAYZ,44,pop,311976,2019,11,danceability,0.738
SUN DAY - Shinichi Osawa Remix,41,pop,264935,2019,11,danceability,0.74
SPOTLIGHT,44,pop,221387,2019,11,danceability,0.638
let me know,39,pop,220631,2019,11,danceability,0.704
Y.E.S,21,pop,146500,2019,11,danceability,0.599
Rich&Famous - feat. Sean Paul,35,pop,249187,2019,11,danceability,0.539
EASY LOVE,27,pop,225273,2019,10,danceability,0.802
PARADE,37,pop,244187,2019,10,danceability,0.679
Obsession,30,pop,214132,2019,10,danceability,0.827
Shine,35,pop,207213,2019,10,danceability,0.779
Upside Down,26,pop,208530,2019,11,danceability,0.701
B.S.G.S.,30,pop,141473,2019,11,danceability,0.625
Bitten By You,40,pop,242627,2019,10,danceability,0.677
For Me,31,pop,221100,2019,10,danceability,0.706
Sway,27,pop,241164,2019,12,danceability,0.792
Nobody,31,pop,213147,2019,12,danceability,0.561
Adios,74,pop,189147,2019,8,danceability,0.633
Dumb,59,pop,190903,2019,11,danceability,0.652
THURSDAY,63,pop,206578,2019,11,danceability,0.678
Snapping,73,pop,213164,2019,6,danceability,0.751
WONDERLAND,72,pop,199013,2019,10,danceability,0.572
Like always,58,pop,204893,2019,8,danceability,0.781
DRIP,59,pop,200465,2019,11,danceability,0.658
Jopping,75,pop,251293,2019,10,danceability,0.74
HIP,81,pop,195307,2019,11,danceability,0.782
Dumb Litty,65,pop,193160,2019,9,danceability,0.76
MIDDLE OF THE NIGHT,69,pop,166213,2019,12,danceability,0.737
Boy With Luv (feat. Halsey),85,pop,229773,2019,4,danceability,0.645
Bon Bon Chocolat,72,pop,228682,2019,3,danceability,0.719
gogobebe,72,pop,195856,2019,3,danceability,0.704
MIROH,71,pop,207617,2019,3,danceability,0.563
Forever Love,48,pop,216640,2019,10,danceability,0.652
Bomb Bomb,66,pop,163509,2019,3,danceability,0.76
FLASH,69,pop,211320,2019,8,danceability,0.674
ME,64,pop,193253,2019,5,danceability,0.752
HIT,66,pop,203493,2019,8,danceability,0.615
I’m So Hot,61,pop,200243,2019,3,danceability,0.75
Me & You,61,pop,203507,2019,5,danceability,0.709
No,61,pop,181976,2019,1,danceability,0.76
WANT,63,pop,208968,2019,2,danceability,0.64
Fever,67,pop,214293,2019,7,danceability,0.764
Room Shaker,57,pop,195027,2019,7,danceability,0.697
LALALAY 날라리,70,pop,174880,2019,8,danceability,0.7
8282(Party),40,pop,188893,2019,8,danceability,0.832
D.D.D,55,pop,212363,2019,8,danceability,0.695
Humph!,63,pop,192613,2019,7,danceability,0.791
Play It Cool,56,pop,186799,2019,2,danceability,0.817
AH YEAH,60,pop,176906,2019,5,danceability,0.797
SHA LA LA,56,pop,194904,2019,3,danceability,0.675
SUNDAY,42,pop,210018,2019,8,danceability,0.737
BEEP BEEP,45,pop,210827,2019,7,danceability,0.671
The Only (feat. IRENE of Red Velvet),54,pop,186918,2019,8,danceability,0.672
I Could Get Used To This,64,pop,193856,2019,3,danceability,0.621
Giant - Robin Schulz Remix,16,pop,193297,2019,2,danceability,0.544
Walk Away,61,pop,196640,2019,3,danceability,0.735
Selfish,69,pop,167857,2019,2,danceability,0.407
Recognise,36,pop,186062,2019,3,danceability,0.717
Don't Give Up On Me,49,pop,185212,2019,3,danceability,0.717
"Alone, Pt. II",85,pop,179053,2019,12,danceability,0.67
Family,85,pop,194827,2019,12,danceability,0.584
Push My Luck,66,pop,181844,2019,11,danceability,0.584
Here Comes The Sun,43,pop,149795,2019,12,danceability,0.679
Sad,56,pop,175200,2019,8,danceability,0.818
Safety (feat. DJ Snake),63,pop,177781,2019,8,danceability,0.755
Summer Lover (feat. Devin & Nile Rodgers),61,pop,194481,2019,4,danceability,0.689
We Got Love,76,pop,213041,2019,11,danceability,0.722
Mr Todd Terry,50,pop,167306,2019,12,danceability,0.81
As Far as Feelings Go,66,pop,210827,2019,10,danceability,0.679
Summer Fade (feat. Anna of the North),64,pop,204711,2019,8,danceability,0.618
Loving Myself (feat. Raphaella),59,pop,174051,2019,11,danceability,0.688
Haloes,64,pop,171344,2019,9,danceability,0.704
Gotta Let Go,56,pop,190093,2019,8,danceability,0.667
Narcotic,77,pop,192387,2019,4,danceability,0.749
Do You Mean (feat. Ty Dolla $ign & bülow),17,pop,193176,2019,4,danceability,0.6
"My One (feat. Tory Lanez, Kranium & Dappy) (Todd Edwards Remix)",38,pop,191283,2019,8,danceability,0.796
Be Someone,66,pop,204568,2019,6,danceability,0.672
Do You Miss Me Much - Wookie Remix,30,pop,262507,2019,9,danceability,0.786
Ghost,72,pop,177630,2019,10,danceability,0.667
Stand By (feat. Rudimental) [#CWC19],58,pop,189274,2019,5,danceability,0.661
Acid Dreams,65,pop,183930,2019,7,danceability,0.817
Kills You Slowly,12,pop,213333,2019,3,danceability,0.696
Don't Worry Bout Me - Alle Farben Remix,48,pop,171914,2019,5,danceability,0.629
Let Me Love You,41,pop,191200,2019,6,danceability,0.714
Spicy - with Diplo & Charli XCX,59,pop,157867,2019,5,danceability,0.822
Summer Lover (feat. Devin & Nile Rodgers) - Moguai Remix,38,pop,189875,2019,6,danceability,0.809
Mistaken (feat. Alex Aris),68,pop,282481,2019,3,danceability,0.424
Instagram - Dimitri Vegas & Like Mike VS Trobi Remix,41,pop,144762,2019,11,danceability,0.759
Do It Again,5,pop,176129,2019,4,danceability,0.701
Can We Pretend (feat. Cash Cash),75,pop,224360,2019,4,danceability,0.524
On My Way,83,pop,193798,2019,3,danceability,0.509
Body 2 Body,61,pop,145574,2019,5,danceability,0.68
Late Night Feelings - Jax Jones Midnight Snack Remix,58,pop,228387,2019,5,danceability,0.697
Shy Guy,48,pop,186953,2019,4,danceability,0.605
Late Night Feelings (feat. Lykke Li),69,pop,251029,2019,4,danceability,0.688
No New Friends - Dombresky Remix,55,pop,246720,2019,5,danceability,0.852
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",79,pop,158027,2019,2,danceability,0.541
"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",62,pop,195747,2019,4,danceability,0.585
Dancing With A Stranger (with Normani),87,pop,171030,2019,1,danceability,0.741
Play,78,pop,167977,2019,8,danceability,0.52
Say You'll Be There,40,pop,169500,2019,1,danceability,0.683
Who Do You Love,23,pop,226747,2019,2,danceability,0.51
Love You Better,67,pop,170893,2019,11,danceability,0.733
The Rest Will Follow,51,pop,162000,2019,11,danceability,0.753
So It Goes,41,pop,165938,2019,12,danceability,0.63
Unbelievable,47,pop,233143,2019,12,danceability,0.741
Photograph,45,pop,212440,2019,12,danceability,0.735
Faded,54,pop,158453,2019,11,danceability,0.561
Only You,54,pop,182609,2019,11,danceability,0.565
I Don't Know,47,pop,195429,2019,11,danceability,0.699
Too Close,66,pop,147741,2019,10,danceability,0.483
Hole in the Roof,61,pop,170000,2019,11,danceability,0.767
Nobody Else,53,pop,179756,2019,11,danceability,0.834
Dance Monkey,63,pop,192203,2019,9,danceability,0.781
Free,44,pop,164613,2019,11,danceability,0.629
My Own Dance,62,pop,161178,2019,11,danceability,0.84
Bigger Than,70,pop,208013,2019,11,danceability,0.421
I Got Eyes,49,pop,159693,2019,9,danceability,0.732
Bleed,44,pop,172933,2019,11,danceability,0.646
Hold on Tight,50,pop,168751,2019,11,danceability,0.61
Once and for All,44,pop,195000,2019,11,danceability,0.677
Fantasy,34,pop,203000,2019,11,danceability,0.773
We Are the Young,57,pop,176864,2019,11,danceability,0.655
No Fear No More,60,pop,195107,2019,11,danceability,0.633
Baianá,76,pop,182187,2019,11,danceability,0.497
Coming Home,49,pop,186336,2019,11,danceability,0.694
Boots,55,pop,175628,2019,11,danceability,0.44
Heading Home,49,pop,189836,2019,9,danceability,0.6
Somebody Out There,54,pop,218978,2019,10,danceability,0.716
Better Half of Me - R3HAB Remix,45,pop,166013,2019,10,danceability,0.497
Say It Again,62,pop,206930,2019,11,danceability,0.51
You & I,50,pop,163077,2019,10,danceability,0.68
Alive,37,pop,163842,2019,10,danceability,0.641
Amsterdam,44,pop,177761,2019,9,danceability,0.845
Cross My Heart,53,pop,173810,2019,9,danceability,0.645
what happened,34,pop,176310,2019,10,danceability,0.713
Ride It,94,pop,157606,2019,7,danceability,0.88
Somebody,48,pop,159423,2019,10,danceability,0.681
Thinkin Bout You,51,pop,151627,2019,10,danceability,0.727
Summertime Love,55,pop,143670,2019,8,danceability,0.713
I Could Get Used To This,58,pop,151126,2019,10,danceability,0.758
LA & The Parties,60,pop,165685,2019,10,danceability,0.543
Too Close,45,pop,168019,2019,9,danceability,0.705
Fallin',52,pop,209079,2019,10,danceability,0.735
Tear Me Down (feat. Philip Rustad),57,pop,184500,2019,9,danceability,0.72
Perspective,32,pop,148147,2019,9,danceability,0.782
Cali Girl,40,pop,148163,2019,9,danceability,0.74
Choir - Remix,54,pop,208520,2019,9,danceability,0.71
Cut to the Chase,41,pop,153673,2019,8,danceability,0.772
You Keep Calling,42,pop,199293,2019,9,danceability,0.512
Motivation,83,pop,193837,2019,8,danceability,0.599
Like I Love You - Small Talk Remix,40,pop,165111,2019,9,danceability,0.753
Punching in the Dark,52,pop,191760,2019,8,danceability,0.676
One Thing Right,85,pop,181824,2019,6,danceability,0.659
Letting Go,66,pop,192089,2019,6,danceability,0.667
Don't Leave Me Lonely - Purple Disco Machine Remix,58,pop,215593,2019,9,danceability,0.81
Hold On,45,pop,143415,2019,8,danceability,0.747
With You,41,pop,137348,2019,8,danceability,0.692
Try,55,pop,185119,2019,8,danceability,0.478
A Dream Is A Wish Your Heart Makes,22,pop,199375,2019,8,danceability,0.69
Lucky One (feat. ILY),47,pop,188000,2019,8,danceability,0.695
Closer,38,pop,162117,2019,8,danceability,0.738
Wannabe,51,pop,187636,2019,7,danceability,0.766
Sending Me You,28,pop,191509,2019,8,danceability,0.501
Room for Two,38,pop,201612,2019,8,danceability,0.387
Lost,65,pop,217493,2019,7,danceability,0.713
Somebody,31,pop,181609,2019,7,danceability,0.709
On A Roll,70,pop,154448,2019,6,danceability,0.737
Calma - Alan Walker Remix,63,pop,193973,2019,6,danceability,0.811
Bad Look,39,pop,157647,2019,8,danceability,0.69
Here I Am (feat. Michael Shynes),35,pop,212655,2019,7,danceability,0.69
Can't Say No (feat. PJZ),44,pop,159039,2019,6,danceability,0.645
Somebody I'm Not,47,pop,214627,2019,6,danceability,0.751
PAY ME BACK!,48,pop,188200,2019,7,danceability,0.79
Tusa,98,pop,200960,2019,11,danceability,0.803
+,81,pop,219367,2019,12,danceability,0.561
everything i wanted,97,pop,245426,2019,11,danceability,0.704
