track_name,track_popularity,playlist_genre,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,track_album_release_year,track_album_release_month
Heaven Can Wait - The Aston Shuffle Remix,61,pop,0.622,0.859,0.0636,0.000609,0.746,0.0909,0.442,218373,2019,5
When It Comes To You - Benny Benassi & BB Team Remix,56,pop,0.789,0.893,0.168,0.0538,0.0,0.221,0.41,144073,2019,10
Gone - The Wild Remix,57,pop,0.64,0.838,0.0416,0.0588,1.99e-05,0.0424,0.587,193861,2019,8
American Boy - Brooks Remix,56,pop,0.609,0.764,0.111,0.0994,0.0,0.197,0.531,200625,2019,6
Million Pieces - M-22 Remix,53,pop,0.64,0.992,0.0585,0.0832,0.0083,0.109,0.479,166237,2019,9
joy. (R3HAB Remix),56,pop,0.75,0.81,0.0572,0.0917,1.59e-05,0.111,0.48,171500,2019,1
Crash Into Me - Settle Down Steavis Aoki Remix,34,pop,0.535,0.956,0.0343,0.000609,0.0109,0.262,0.12,266719,2019,11
Old Town Road - Diplo Remix,74,pop,0.766,0.771,0.0576,0.00407,3.76e-06,0.113,0.297,204027,2019,4
Lovers + Strangers - GATTÜSO Remix,46,pop,0.649,0.821,0.0472,0.017,0.000347,0.0655,0.394,203968,2019,11
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,55,pop,0.355,0.789,0.165,0.0148,0.0,0.0355,0.169,237686,2019,12
What Am I - SONDR Remix,52,pop,0.542,0.84,0.0419,0.0336,8.45e-05,0.277,0.509,180361,2019,11
Cool Kids,67,pop,0.735,0.5,0.0511,0.415,3.12e-05,0.13,0.119,139048,2019,11
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,63,pop,0.752,0.84,0.0373,0.00486,0.0109,0.0916,0.461,279800,2019,8
All Star - Breathe Carolina Remix,60,pop,0.748,0.903,0.0385,0.0324,0.0,0.106,0.751,217043,2019,8
Trampoline - Dave Audé Remix,45,pop,0.607,0.955,0.102,0.0163,0.121,0.0725,0.501,230476,2019,12
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,58,pop,0.607,0.995,0.0487,0.0921,0.002,0.0445,0.664,188640,2019,7
With You - Dexter Remix,51,pop,0.679,0.786,0.132,0.119,5.89e-06,0.224,0.47,196613,2019,9
Safety (feat. DJ Snake) - Dark Heart 2am Mix,58,pop,0.714,0.801,0.0301,0.0204,0.00615,0.334,0.292,210000,2019,11
Talk - Disclosure VIP,60,pop,0.775,0.867,0.204,0.0158,0.0117,0.0355,0.565,273229,2019,3
Spicy - Majestic Remix,48,pop,0.814,0.838,0.0763,0.001,0.0223,0.0185,0.959,255861,2019,10
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,56,pop,0.784,0.779,0.0387,0.0357,0.025,0.0245,0.459,216714,2019,10
Treehouse - R3HAB Remix,56,pop,0.367,0.783,0.154,0.00515,0.0,0.0545,0.289,192653,2019,9
Call You Mine,39,pop,0.591,0.702,0.0289,0.225,0.0,0.414,0.501,217653,2019,5
Post Malone (feat. RANI),83,pop,0.59,0.642,0.122,0.0771,0.0,0.105,0.651,174444,2019,5
Here With Me,83,pop,0.791,0.565,0.0439,0.0623,0.0,0.156,0.181,156347,2019,3
Easier - Seeb Remix,71,pop,0.564,0.747,0.0584,0.0728,0.0,0.151,0.717,165767,2019,7
Sixteen,81,pop,0.669,0.801,0.136,0.268,0.0,0.0594,0.541,201072,2019,4
Never Really Over,85,pop,0.77,0.882,0.0602,0.194,0.0,0.316,0.385,223523,2019,5
All You Need To Know (feat. Calle Lehmann),76,pop,0.513,0.788,0.0364,0.00968,0.0,0.11,0.234,238459,2019,3
I Miss Myself (with HRVY),71,pop,0.72,0.864,0.208,0.0856,0.0,0.16,0.659,191612,2019,5
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,65,pop,0.789,0.858,0.0404,0.22,4.58e-05,0.335,0.491,173455,2019,10
Takeaway (feat. Lennon Stella),67,pop,0.294,0.505,0.042,0.12,0.0,0.0977,0.357,209893,2019,7
All the Time,74,pop,0.665,0.799,0.0617,0.18,0.0,0.125,0.5,228112,2019,6
What I Like About You (feat. Theresa Rex),81,pop,0.46,0.8,0.05,0.289,6.16e-06,0.121,0.553,220396,2019,3
With You,71,pop,0.362,0.921,0.486,0.123,0.0,0.19,0.529,180840,2019,6
Body Back (feat. Maia Wright),75,pop,0.686,0.83,0.0369,0.0948,1.33e-06,0.182,0.486,214634,2019,10
Not Ok,73,pop,0.618,0.66,0.0372,0.0292,2.07e-06,0.325,0.408,210944,2019,5
Better With You,63,pop,0.571,0.752,0.0293,0.0196,6.92e-05,0.114,0.25,192941,2019,3
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",79,pop,0.591,0.705,0.079,0.381,0.000116,0.131,0.27,215316,2019,4
In Your Arms (with X Ambassadors),75,pop,0.404,0.806,0.0496,0.198,0.0,0.114,0.112,220730,2019,8
I'm Not Alright,55,pop,0.876,0.856,0.0486,0.0812,1.29e-06,0.457,0.685,185062,2019,7
SOS,30,pop,0.802,0.645,0.0715,0.272,0.0,0.119,0.376,157202,2019,4
Harder,62,pop,0.906,0.832,0.0718,0.0909,0.0,0.152,0.751,159753,2019,7
Wanted,70,pop,0.693,0.674,0.0723,0.185,0.0,0.0639,0.378,160998,2019,9
Crash Into Me,37,pop,0.672,0.815,0.0981,0.00246,0.0,0.577,0.341,226093,2019,7
Need Your Love (with Noah Kahan),70,pop,0.581,0.76,0.0406,0.16,0.0,0.183,0.523,205787,2019,10
Good Things Fall Apart (with Jon Bellion),74,pop,0.643,0.594,0.0318,0.0128,0.0,0.118,0.442,216668,2019,5
Don't Call Me Up,85,pop,0.674,0.881,0.147,0.296,3.01e-06,0.0793,0.234,178480,2019,1
Nostalgic,36,pop,0.691,0.538,0.103,0.246,0.163,0.178,0.329,182668,2019,6
Let It Be Me,52,pop,0.661,0.758,0.0864,0.0797,0.0,0.106,0.387,224061,2019,9
Lovers + Strangers,58,pop,0.653,0.69,0.0756,0.109,0.0,0.136,0.652,178501,2019,10
Sad Song (feat. TINI),72,pop,0.734,0.693,0.0361,0.0878,0.0,0.341,0.55,154024,2019,6
Save Me Tonight,63,pop,0.55,0.899,0.0458,0.0113,9.65e-05,0.137,0.408,170079,2019,1
No Sleep (feat. Bonn),76,pop,0.44,0.635,0.0326,0.129,0.0,0.121,0.327,207095,2019,2
Endless Summer,56,pop,0.625,0.719,0.0612,0.048,0.0,0.0668,0.326,202072,2019,7
Faith (with Dolly Parton) [feat. Mr. Probz],77,pop,0.547,0.795,0.0489,0.145,0.0,0.11,0.723,186805,2019,10
Think About You,71,pop,0.673,0.596,0.0354,0.166,0.0,0.11,0.19,208567,2019,2
Party For One,64,pop,0.699,0.633,0.0362,0.0453,0.0,0.101,0.458,184533,2019,5
Ritual,82,pop,0.647,0.726,0.0552,0.157,0.0,0.0844,0.767,198996,2019,5
Now That I Found You,5,pop,0.611,0.737,0.0476,0.0145,0.0,0.107,0.574,200318,2019,2
All Comes Back To You,72,pop,0.726,0.763,0.0882,0.524,2.64e-06,0.0943,0.516,160312,2019,10
Need U,24,pop,0.714,0.705,0.0995,0.292,0.000386,0.126,0.471,219521,2019,8
Something Real,65,pop,0.575,0.808,0.0439,0.0446,0.0,0.0693,0.232,179531,2019,7
TIME,64,pop,0.768,0.808,0.112,0.00627,5.33e-06,0.343,0.664,166000,2019,3
Something About You (with Rudimental),53,pop,0.767,0.605,0.188,0.559,0.000363,0.193,0.657,203200,2019,8
Home (feat. Bonn),72,pop,0.466,0.612,0.0307,0.0655,4.07e-06,0.132,0.236,239067,2019,8
Simple (STVW Remix),39,pop,0.434,0.917,0.0633,0.301,1.8e-05,0.289,0.622,147554,2019,4
Sorry,75,pop,0.744,0.79,0.0562,0.0547,0.000802,0.32,0.847,188640,2019,4
Spicy (with Diplo & Charli XCX),60,pop,0.837,0.818,0.0533,0.0527,0.00642,0.11,0.484,157159,2019,5
The Upside (feat. Elle King),18,pop,0.514,0.856,0.0717,0.00123,6.34e-06,0.544,0.351,228502,2019,8
Million Voices,60,pop,0.466,0.869,0.0529,0.0142,0.00241,0.115,0.185,187150,2019,10
RITMO (Bad Boys For Life),96,pop,0.721,0.716,0.0657,0.0334,0.00084,0.237,0.667,221714,2019,10
Turn Me On (feat. Vula),86,pop,0.737,0.828,0.0396,0.0149,0.000583,0.0862,0.517,208474,2019,9
Wish You Well (with Sigala),5,pop,0.67,0.89,0.0576,0.122,0.0,0.333,0.568,206440,2019,9
With You - LöKii Remix,57,pop,0.708,0.727,0.0389,0.0201,0.676,0.37,0.512,231480,2019,9
Dive,68,pop,0.654,0.787,0.0502,0.00515,0.0,0.144,0.409,164490,2019,12
No Goodbye,65,pop,0.945,0.584,0.044,0.0955,0.341,0.147,0.626,168547,2019,7
Work,58,pop,0.704,0.929,0.0395,0.0395,0.0249,0.181,0.633,155238,2019,1
Instagram,81,pop,0.765,0.906,0.0965,0.125,0.0,0.423,0.95,184558,2019,7
Butterfly,43,pop,0.627,0.662,0.0349,0.0922,0.000166,0.143,0.596,159194,2019,6
All The Love You Got,57,pop,0.762,0.736,0.0778,0.135,0.0538,0.113,0.248,165714,2019,12
Call You Mine - Asketa & Natan Chaim Remix,58,pop,0.577,0.844,0.0406,0.00407,6.13e-06,0.499,0.283,183653,2019,7
Love Is Not Enough,58,pop,0.632,0.816,0.0349,0.00205,0.106,0.119,0.134,202500,2019,12
Lose Control,91,pop,0.598,0.526,0.0415,0.129,0.0,0.14,0.529,168387,2019,10
I Wanna Dance,67,pop,0.825,0.841,0.135,0.0906,0.00411,0.258,0.616,184582,2019,7
After The Landslide - Club Remix,42,pop,0.63,0.731,0.0352,0.0191,7.82e-06,0.704,0.46,240000,2019,9
Midnight Hour with Boys Noize & Ty Dolla $ign,70,pop,0.795,0.899,0.0685,0.00235,0.000392,0.199,0.329,198839,2019,8
Not in Control,53,pop,0.904,0.633,0.0958,0.203,0.000266,0.163,0.492,179016,2019,12
BLUE,75,pop,0.744,0.725,0.0303,0.018,9.29e-06,0.212,0.904,167859,2019,12
Don't Waste My Time,46,pop,0.772,0.687,0.211,0.0528,0.0,0.834,0.59,154286,2019,11
Beat Of My Heart,67,pop,0.706,0.524,0.026,0.127,0.00129,0.109,0.296,183183,2019,10
Don't Start Now - Kungs Remix,65,pop,0.664,0.699,0.27,0.0352,0.0,0.0612,0.252,216256,2019,12
Drunken Truth,56,pop,0.781,0.745,0.0374,0.0814,9.71e-05,0.106,0.498,158091,2019,12
Jacques,42,pop,0.789,0.547,0.0748,0.072,9.21e-05,0.0782,0.48,203227,2019,8
Stay (Don't Go Away) [feat. Raye],74,pop,0.669,0.797,0.0624,0.259,0.0,0.199,0.552,185943,2019,5
Solid Gold,65,pop,0.567,0.946,0.0541,0.0978,1.37e-06,0.0836,0.295,208367,2019,5
One Life,64,pop,0.653,0.757,0.0555,0.0997,0.0,0.242,0.233,204591,2019,9
All ‘Bout The Money,51,pop,0.721,0.779,0.0606,0.142,0.0,0.143,0.327,169964,2019,10
Used To Love (with Dean Lewis),83,pop,0.651,0.693,0.0375,0.458,0.0,0.335,0.392,236765,2019,10
Giulia,55,pop,0.682,0.923,0.0364,0.00395,3e-05,0.242,0.37,153231,2019,11
What Do I Do? - Benny Benassi Remix,39,pop,0.66,0.827,0.0789,0.429,0.0,0.0923,0.611,167249,2019,10
Dreams Of You (feat. Rae Morris),48,pop,0.57,0.965,0.0348,0.00108,0.523,0.201,0.148,291785,2019,10
I Will Let You Down (feat. KLARA),59,pop,0.608,0.918,0.0684,0.199,0.0,0.309,0.422,182000,2019,12
Carillon (with Achille Lauro),64,pop,0.561,0.562,0.15,0.062,0.0,0.118,0.244,242385,2019,12
La Vie - Gabry Ponte Mix,42,pop,0.591,0.88,0.223,0.0804,0.0,0.326,0.482,177638,2019,11
Say It,57,pop,0.745,0.8,0.0361,0.0209,0.000479,0.113,0.314,204693,2019,7
All This Time,21,pop,0.66,0.857,0.321,0.167,1.36e-05,0.119,0.233,225160,2019,7
Acordeão,63,pop,0.552,0.887,0.147,0.0457,0.0207,0.0903,0.783,131204,2019,8
My Friend,54,pop,0.471,0.911,0.0594,0.0316,0.00648,0.571,0.197,170000,2019,5
On & On,79,pop,0.747,0.776,0.0722,0.0233,1.38e-05,0.761,0.67,147027,2019,11
Juliet & Romeo,72,pop,0.712,0.664,0.0345,0.0416,0.000104,0.0668,0.781,204514,2019,12
All Around The World (La La La),80,pop,0.733,0.859,0.033,0.479,0.0645,0.105,0.52,147840,2019,4
Are You Lonely (feat. ISÁK),47,pop,0.517,0.793,0.0367,0.0214,0.00046,0.0892,0.176,157333,2019,2
No More (feat. Brenda Mullen) - Bottai Edit,19,pop,0.675,0.674,0.0372,0.00339,8.55e-05,0.279,0.414,200640,2019,3
Close Your Eyes,79,pop,0.818,0.823,0.2,0.0663,1.17e-05,0.133,0.52,160794,2019,11
Buzzing (with Nevve),59,pop,0.639,0.591,0.0344,0.128,6.69e-06,0.159,0.305,225000,2019,11
Never Be Alone (feat. Aloe Blacc),68,pop,0.535,0.906,0.0353,0.0202,0.000715,0.0886,0.732,178671,2019,7
Roses - Imanbek Remix,72,pop,0.784,0.721,0.0506,0.0149,0.00424,0.285,0.895,176219,2019,9
Insane,66,pop,0.809,0.758,0.101,0.409,0.000544,0.166,0.71,142230,2019,11
Only Want You - Sam Feldt Remix,64,pop,0.578,0.786,0.13,0.232,0.000106,0.122,0.347,179151,2019,4
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,9,pop,0.733,0.839,0.0335,0.0145,0.000187,0.162,0.471,223533,2019,2
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,41,pop,0.63,0.726,0.0978,0.0717,0.0,0.108,0.499,196475,2019,5
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,69,pop,0.845,0.766,0.0658,0.212,0.0,0.111,0.782,195924,2019,9
Not Ok - Frank Walker Remix,66,pop,0.679,0.866,0.0566,0.0337,0.0,0.0688,0.441,183934,2019,7
Heaven (feat. Veronica),68,pop,0.657,0.882,0.0456,0.247,0.00202,0.112,0.179,195000,2019,1
Sixteen - Don Diablo Remix,66,pop,0.493,0.773,0.157,0.429,7.07e-06,0.0807,0.301,193548,2019,5
Don’t Give Up On Me Now (with Julie Bergan),63,pop,0.687,0.706,0.0459,0.091,0.0,0.124,0.27,127826,2019,5
Brave,68,pop,0.654,0.874,0.0543,0.169,1.77e-06,0.134,0.542,184027,2019,4
Carry On - Nicky Romero Remix,67,pop,0.447,0.684,0.09,0.175,0.0,0.478,0.437,175312,2019,5
Magnets (feat. Sophie Simmons),62,pop,0.731,0.802,0.0623,0.022,0.0,0.059,0.434,179016,2019,5
Don't Give Up On Me,9,pop,0.489,0.766,0.0851,0.0511,1.35e-05,0.126,0.117,190645,2019,4
Found Love (feat. Lovespeake),59,pop,0.6,0.888,0.13,0.00166,0.0,0.4,0.641,157024,2019,2
These Are The Times (feat. JRM),71,pop,0.687,0.707,0.0328,0.0536,9.29e-05,0.16,0.607,188656,2019,7
Roots,69,pop,0.683,0.785,0.037,0.0643,1.34e-05,0.177,0.581,184564,2019,8
Talk - Alle Farben Remix,56,pop,0.638,0.818,0.05,0.131,1.78e-05,0.107,0.489,167990,2019,4
All The Lies - Toby Romeo Remix / Radio Edit,56,pop,0.707,0.806,0.175,0.00908,0.0,0.366,0.634,163000,2019,7
High Hopes - Don Diablo Remix,60,pop,0.59,0.888,0.0765,0.0216,0.0,0.487,0.288,185714,2019,1
Summer Air (feat. Trevor Guthrie),40,pop,0.632,0.574,0.053,0.0942,0.0,0.215,0.557,201905,2019,5
Can We Pretend (feat. Cash Cash) - Sigala Remix,57,pop,0.703,0.879,0.177,0.0693,0.0,0.315,0.542,183360,2019,6
Bruises - Steve Void Remix,70,pop,0.79,0.746,0.0502,0.241,0.0,0.316,0.538,212280,2019,9
Insomnia - King Arthur Remix,63,pop,0.733,0.718,0.0376,0.0107,0.0102,0.33,0.206,176098,2019,5
Don't Worry Bout Me - Rudimental Remix,65,pop,0.728,0.848,0.185,0.0427,4.49e-06,0.118,0.612,193137,2019,4
I Miss Myself - R3HAB Remix,56,pop,0.502,0.78,0.244,0.333,0.0,0.72,0.607,183341,2019,6
Leave,56,pop,0.762,0.665,0.0471,0.169,0.0,0.103,0.961,193640,2019,1
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,65,pop,0.684,0.95,0.0809,0.0207,1.25e-06,0.105,0.436,156168,2019,3
I'm Not Sorry,34,pop,0.65,0.819,0.0551,0.117,0.0,0.0772,0.351,186094,2019,3
Tequila - Robin Schulz Remix,54,pop,0.448,0.836,0.0809,0.229,0.0,0.427,0.482,170103,2019,3
Sing It With Me - Embody Remix,50,pop,0.674,0.854,0.115,0.054,0.0,0.379,0.503,180571,2019,6
Better When You're Gone,76,pop,0.647,0.795,0.0372,0.0635,0.0,0.188,0.409,192402,2019,2
Wish You Well,75,pop,0.669,0.895,0.0575,0.128,0.0,0.297,0.576,205653,2019,5
Only When It Rains,52,pop,0.792,0.724,0.0362,0.219,0.0,0.0911,0.429,169000,2019,3
Mad Love - Blinkie Remix,62,pop,0.706,0.931,0.0456,0.354,3.72e-06,0.146,0.465,200893,2019,7
Better Day (feat. Aloe Blacc),62,pop,0.662,0.823,0.0971,0.073,0.0,0.0833,0.435,191786,2019,11
Rescue Me (with BUNT.) - BUNT. Remix,10,pop,0.673,0.885,0.0569,0.143,0.0,0.184,0.704,174545,2019,8
Discovery,55,pop,0.516,0.857,0.0463,0.0368,0.0,0.264,0.448,198750,2019,5
With You - Frank Walker Remix,49,pop,0.686,0.613,0.069,0.0386,0.0,0.251,0.452,206875,2019,2
Love You Forever,61,pop,0.382,0.698,0.0374,0.00236,5.24e-05,0.108,0.151,234609,2019,6
Thorns,60,pop,0.708,0.825,0.0615,0.031,0.0,0.191,0.662,186000,2019,3
Need You,62,pop,0.639,0.705,0.049,0.045,0.0,0.425,0.595,182161,2019,7
Sweet Dreams (Are Made of This),67,pop,0.815,0.647,0.218,0.399,0.0,0.0738,0.182,176773,2019,6
Million Lights,61,pop,0.696,0.907,0.073,0.0191,1.23e-05,0.124,0.466,186667,2019,3
Heaven,80,pop,0.592,0.873,0.0275,0.0715,0.00982,0.142,0.516,277262,2019,6
eoh,60,pop,0.707,0.585,0.0701,0.145,0.00485,0.257,0.277,155520,2019,8
Nobody,66,pop,0.673,0.687,0.0623,0.269,0.0,0.181,0.524,211040,2019,3
All Day And Night,75,pop,0.567,0.765,0.108,0.317,0.0,0.14,0.541,169467,2019,7
Bittersweet Symphony (feat. Emily Roberts),72,pop,0.676,0.582,0.128,0.221,0.00627,0.515,0.447,194618,2019,3
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",58,pop,0.763,0.674,0.0378,0.0106,3.58e-06,0.0321,0.759,178512,2019,8
No One - Jonas Blue Remix,51,pop,0.605,0.854,0.0488,0.0673,0.0,0.54,0.165,214641,2019,3
Speechless (feat. Erika Sirola) - MOTi Remix,54,pop,0.609,0.523,0.0796,0.00959,0.000155,0.15,0.342,181875,2019,3
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),83,pop,0.661,0.723,0.0566,0.179,1.23e-05,0.14,0.316,163805,2019,4
Who's Got Your Love,70,pop,0.704,0.888,0.0541,0.00553,0.0011,0.079,0.531,157000,2019,3
Never Go Back - Robin Schulz Remix,70,pop,0.655,0.713,0.0501,0.338,0.0,0.0971,0.61,184653,2019,6
Think About You - Galantis Remix,63,pop,0.621,0.898,0.0401,0.0976,1.08e-05,0.404,0.332,181040,2019,4
Giant (with Rag'n'Bone Man),83,pop,0.807,0.887,0.0361,0.016,0.000503,0.0811,0.606,229184,2019,1
Sad (feat. Afrojack),75,pop,0.717,0.716,0.0432,0.0421,0.000467,0.0699,0.206,161280,2019,8
Why Boy,55,pop,0.497,0.924,0.0434,0.149,0.251,0.267,0.283,150005,2019,6
Breathe (feat. Ina Wroldsen),66,pop,0.724,0.733,0.0382,0.0249,0.000318,0.127,0.672,208107,2019,7
Rockstar,71,pop,0.771,0.826,0.0604,0.142,0.03,0.145,0.185,212280,2019,6
So Am I,83,pop,0.682,0.656,0.0435,0.0737,0.0,0.353,0.607,183027,2019,3
Penny,50,pop,0.468,0.968,0.0478,0.0224,0.922,0.194,0.284,199245,2019,3
bad guy,95,pop,0.701,0.425,0.375,0.328,0.13,0.1,0.562,194088,2019,3
Halfway There (feat. Lena Leon),60,pop,0.59,0.888,0.0797,0.000753,0.00535,0.817,0.0715,195000,2019,3
Spirit Of Freedom,45,pop,0.438,0.914,0.0601,0.0206,0.623,0.12,0.225,161250,2019,1
Turning Up,67,pop,0.769,0.817,0.103,0.0225,1.03e-06,0.244,0.896,182633,2019,11
Winter Hitori feat. ASOBOiSM,28,pop,0.787,0.722,0.0395,0.0489,0.0,0.0956,0.52,218357,2019,12
One in a Million -奇跡の夜に-,60,pop,0.746,0.805,0.0683,0.074,0.0,0.0548,0.843,222932,2019,11
Gimme GImme,21,pop,0.705,0.858,0.0627,0.112,0.0,0.298,0.536,230943,2019,12
LOVE + PARTY,37,pop,0.789,0.77,0.0553,0.0403,0.0,0.0988,0.791,193553,2019,12
taste,34,pop,0.705,0.666,0.0583,0.577,0.0,0.0835,0.697,223920,2019,12
A-RA-SHI:Reborn,60,pop,0.718,0.8,0.0587,0.00588,1.63e-05,0.337,0.266,205928,2019,12
Light,53,pop,0.775,0.673,0.081,0.0564,0.0,0.111,0.5,228371,2019,11
Fly me 2,41,pop,0.742,0.719,0.0387,0.0867,0.0,0.126,0.318,217000,2019,11
Not Enough,29,pop,0.549,0.847,0.0483,0.0587,0.0,0.102,0.149,292587,2019,11
COLORLESS,54,pop,0.425,0.56,0.308,0.0826,0.0,0.35,0.347,196367,2019,12
MarudeSaturday Night,21,pop,0.697,0.77,0.0327,0.00374,0.0,0.0424,0.748,214118,2019,12
FUTARI x PARTY,40,pop,0.866,0.746,0.0706,0.446,0.0,0.133,0.594,184935,2019,11
Be on the Stage,26,pop,0.684,0.854,0.0847,0.0615,1.37e-06,0.152,0.594,232973,2019,12
space shuttle,36,pop,0.711,0.934,0.0588,0.0445,8.83e-06,0.0537,0.866,224333,2019,11
TO-KE-TE,34,pop,0.392,0.891,0.059,0.0236,0.0,0.281,0.45,214627,2019,12
